,song_id,song_name,artist,popularity,is_explicit,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
200,5d8yMIlqJH78lwOUP7T3oF,Real,Kendrick Lamar,53.0,1.0,"good kid, m.A.A.d city (Deluxe)",2012,0.652,0.458,1,-12.272,1,0.194,0.0282,0.0,0.664,0.174,100.046,audio_features,5d8yMIlqJH78lwOUP7T3oF,spotify:track:5d8yMIlqJH78lwOUP7T3oF,https://api.spotify.com/v1/tracks/5d8yMIlqJH78lwOUP7T3oF,https://api.spotify.com/v1/audio-analysis/5d8yMIlqJH78lwOUP7T3oF,443413,4
201,0AOvNRgl0SMfOibWA5bP8o,Money Trees,Kendrick Lamar,62.0,1.0,"good kid, m.A.A.d city (Deluxe)",2012,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,audio_features,0AOvNRgl0SMfOibWA5bP8o,spotify:track:0AOvNRgl0SMfOibWA5bP8o,https://api.spotify.com/v1/tracks/0AOvNRgl0SMfOibWA5bP8o,https://api.spotify.com/v1/audio-analysis/0AOvNRgl0SMfOibWA5bP8o,386907,4
202,712uvW1Vezq8WpQi38v2L9,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,67.0,1.0,"good kid, m.A.A.d city (Deluxe)",2012,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,audio_features,712uvW1Vezq8WpQi38v2L9,spotify:track:712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/tracks/712uvW1Vezq8WpQi38v2L9,https://api.spotify.com/v1/audio-analysis/712uvW1Vezq8WpQi38v2L9,310720,4
203,2cDCojn6uIBM6A5xTAbl3H,m.A.A.d city,Kendrick Lamar,64.0,1.0,"good kid, m.A.A.d city (Deluxe)",2012,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,audio_features,2cDCojn6uIBM6A5xTAbl3H,spotify:track:2cDCojn6uIBM6A5xTAbl3H,https://api.spotify.com/v1/tracks/2cDCojn6uIBM6A5xTAbl3H,https://api.spotify.com/v1/audio-analysis/2cDCojn6uIBM6A5xTAbl3H,350120,4
204,781V2Y5LPtcpgONEOadadE,Get Got,Death Grips,59.0,1.0,The Money Store,2012-04-23,0.57,0.993,7,-3.757,1,0.337,0.00628,0.00796,0.0876,0.405,87.0,audio_features,781V2Y5LPtcpgONEOadadE,spotify:track:781V2Y5LPtcpgONEOadadE,https://api.spotify.com/v1/tracks/781V2Y5LPtcpgONEOadadE,https://api.spotify.com/v1/audio-analysis/781V2Y5LPtcpgONEOadadE,171867,4
205,6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),Kendrick Lamar,74.0,1.0,Swimming Pools (Drank),2012-01-01,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,audio_features,6REbwUNlppTfcnV4d4ZoZi,spotify:track:6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/tracks/6REbwUNlppTfcnV4d4ZoZi,https://api.spotify.com/v1/audio-analysis/6REbwUNlppTfcnV4d4ZoZi,247800,4
206,0bxcUgWlOURkU6lZt4zog0,Locket,Crumb,67.0,0.0,Locket,2017-06-23,0.393,0.481,1,-10.462,1,0.0273,0.758,0.73,0.0869,0.0763,98.462,audio_features,0bxcUgWlOURkU6lZt4zog0,spotify:track:0bxcUgWlOURkU6lZt4zog0,https://api.spotify.com/v1/tracks/0bxcUgWlOURkU6lZt4zog0,https://api.spotify.com/v1/audio-analysis/0bxcUgWlOURkU6lZt4zog0,318379,4
207,5Hu24z7izB3LKi6pHaPq3C,Some Place Else,MorMor,47.0,0.0,Some Place Else,2019-05-03,0.65,0.481,0,-9.582,1,0.0283,0.201,0.901,0.111,0.166,83.976,audio_features,5Hu24z7izB3LKi6pHaPq3C,spotify:track:5Hu24z7izB3LKi6pHaPq3C,https://api.spotify.com/v1/tracks/5Hu24z7izB3LKi6pHaPq3C,https://api.spotify.com/v1/audio-analysis/5Hu24z7izB3LKi6pHaPq3C,214886,4
208,2RGe02P8xxSF9syj0ltPjX,Chronic Sunshine,Cosmo Pyke,57.0,0.0,Chronic Sunshine,2017-01-30,0.431,0.773,2,-5.002,1,0.0636,0.0264,0.0,0.348,0.504,111.387,audio_features,2RGe02P8xxSF9syj0ltPjX,spotify:track:2RGe02P8xxSF9syj0ltPjX,https://api.spotify.com/v1/tracks/2RGe02P8xxSF9syj0ltPjX,https://api.spotify.com/v1/audio-analysis/2RGe02P8xxSF9syj0ltPjX,270927,4
209,7EDzYP6nOwidhyMkrItbNa,Petals,TOPS,52.0,0.0,Sugar at the Gate,2017-06-02,0.822,0.706,0,-6.472,1,0.0387,0.193,0.00167,0.129,0.895,128.707,audio_features,7EDzYP6nOwidhyMkrItbNa,spotify:track:7EDzYP6nOwidhyMkrItbNa,https://api.spotify.com/v1/tracks/7EDzYP6nOwidhyMkrItbNa,https://api.spotify.com/v1/audio-analysis/7EDzYP6nOwidhyMkrItbNa,174536,4
